card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,other_identifier_content,other_identifier_type,name_type,name_language,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,004f2679-47a8-52ca-bb7b-ad49ab399ba4,https://n2t.net/ark:/15052/bcc05221-2fa4-4e72-9ed3-118c1493fb37,Brabant Cloud ARK Identifier,J. Smits,,,,Primary,Nederlands,,,,
Actors,0,0091a68c-0d3f-5ef2-8b80-4e7df0b88921,https://n2t.net/ark:/15052/904a4ed7-4fbf-48b4-ba52-46599a1bf64f,Brabant Cloud ARK Identifier,Johannes Hermanus Hogenkamp,J.H. Hogenkamp,,,Primary,Nederlands,,,,
Actors,0,00e8c2b7-cc19-59d7-afe6-427f0bdd8a3f,https://n2t.net/ark:/15052/8fb05f15-ac3c-4162-814c-2c1479fa1589,Brabant Cloud ARK Identifier,E.J.A. Corsmit,,,,Primary,Nederlands,,,,
Actors,0,02287601-4d8c-5ae9-b285-38555b4cf487,https://n2t.net/ark:/15052/15e8b783-8e68-4945-9d1d-217249b28536,Brabant Cloud ARK Identifier,Jan Oomen,J. Oomen,,,Primary,Nederlands,,,,
Actors,0,02616554-c0a1-5e15-b291-e07fbeaf363c,https://n2t.net/ark:/15052/60a27448-5ed7-4f2f-9854-6d30742f0908,Brabant Cloud ARK Identifier,Bastiaan Willem Plooij,B.W. Plooij,https://www.wikidata.org/entity/Q13531144,Wikidata,Primary,Nederlands,,,,
Actors,0,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Brabant Cloud ARK Identifier,Hubertus van Luik,"['Hubertus', 'Sint Hubertus', 'Sint-Hubertus', 'St. Hubertus', 'Huibrecht']",https://www.wikidata.org/entity/Q159834,Wikidata,Primary,Nederlands,,,,
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Hubertus,Alternative,Nederlands
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint Hubertus,Alternative,Nederlands
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint-Hubertus,Alternative,Nederlands
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St. Hubertus,Alternative,Nederlands
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Huibrecht,Alternative,Nederlands
Actors,0,026b8baf-1a4d-572d-85f8-9f47ae9d6b81,https://n2t.net/ark:/15052/f016fa64-8414-49a0-9190-314fbba01bc2,Brabant Cloud ARK Identifier,Onze-Lieve-Vrouw van Loreto,"['Onze-Lieve-Vrouw van Loreten', 'O.L.V. van Loreto']",https://www.wikidata.org/wiki/Q9094350,Wikidata,Primary,Nederlands,,,,
Alternate names,1,026b8baf-1a4d-572d-85f8-9f47ae9d6b81,,,,,,,,,https://n2t.net/ark:/15052/f016fa64-8414-49a0-9190-314fbba01bc2,Onze-Lieve-Vrouw van Loreten,Alternative,Nederlands
Alternate names,1,026b8baf-1a4d-572d-85f8-9f47ae9d6b81,,,,,,,,,https://n2t.net/ark:/15052/f016fa64-8414-49a0-9190-314fbba01bc2,O.L.V. van Loreto,Alternative,Nederlands
Actors,0,02c286be-b3cc-5732-81ed-7b7c81dbaccd,https://n2t.net/ark:/15052/0988fb32-e56a-458d-a90f-183604aaacb8,Brabant Cloud ARK Identifier,H.P.M. Elemans,,,,Primary,Nederlands,,,,
Actors,0,03f075d1-805f-5176-995b-6481146a377c,https://n2t.net/ark:/15052/61752b86-270f-4a95-968e-fcdd433a3d6c,Brabant Cloud ARK Identifier,"Van der Laan, Hansen en van Hal","['N. van der Laan, Hansen en Van Hal', 'Nico van der Laan - Hansen - Van Hal', 'Van der Laan, van Hal en Hansen']",,,Primary,Nederlands,,,,
